name,lat,lon
Unknown,-50,-10
Afghanistan,33.8563992,66.0866901
Angola,-12.245868,17.4705724
Albania,41.1413533,20.0324263
UAE,23.8686335,54.2067146
Argentina,-35.446821,-65.17536
Armenia,40.2166074,45.0002902
French Southern and Antarctic Lands,-49.306454,69.5315804
Australia,-25.730654,134.502775
Austria,47.6139487,14.0761587
Azerbaijan,40.2206907,47.5539096
Burundi,-3.3773917,29.913901
Belgium,50.6524427,4.58083117
Benin,9.6474306,2.33737765
Burkina Faso,12.3116504,-1.7765373
Bangladesh,23.8394619,90.2679283
Bulgaria,42.7531187,25.1951108
The Bahamas,25.5154917,-77.92997
Bosnia and Herzegovina,44.180768,17.8168832
Belarus,53.5063443,27.981354
Belize,17.1970897,-88.703421
Bolivia,-16.728986,-64.641405
Brazil,-10.806773,-53.054339
Brunei,4.69025069,114.915108
Bhutan,27.4279686,90.4724248
Botswana,-22.099711,23.7730814
Central African Republic,6.54277883,20.3743469
Canada,61.4690761,-98.142381
Switzerland,46.7917377,8.11830075
Chile,-39.047014,-71.520643
China,36.5550685,103.883616
Ivory Coast,7.55375503,-5.6120436
Cameroon,5.66309826,12.6115524
Congo,-2.8502756,23.5829558
Congo Brazzaville,-0.8378009,15.1344617
Colombia,3.92721384,-73.077732
Costa Rica,9.96567102,-84.175423
Cuba,21.6317514,-78.960684
Northern Cyprus,35.2739577,33.5582862
Cyprus,34.9070608,33.0395538
Czech Republic,49.7752452,15.3345582
Germany,51.1337227,10.288485
Djibouti,11.7730444,42.4980196
Denmark,56.0639345,9.87637282
Dominican Republic,18.884487,-70.462358
Algeria,28.1854812,2.59804781
Ecuador,-1.4547717,-78.384166
Egypt,26.5066199,29.8444615
Eritrea,15.4272756,38.6781773
Spain,40.3486561,-3.6170206
Estonia,58.6436952,25.8247282
Ethiopia,8.65399919,39.5512557
Finland,64.5040938,26.2117646
Fiji,-17.316309,163.853146
Falkland Islands,-51.713221,-59.420972
France,42.457718,-2.8805991
Gabon,-0.6470482,11.6877511
UK,53.9147735,-2.8531355
Georgia,42.1620189,43.4815401
Ghana,7.92865185,-1.2369684
Guinea,10.4482729,-11.060853
Gambia,13.4753344,-15.431873
Guinea Bissau,12.0227044,-15.110623
Equatorial Guinea,1.64586442,10.3660313
Greece,39.066716,22.7198134
Greenland,74.7704876,-41.500181
Guatemala,15.6993605,-90.369458
Guyana,4.79022535,-58.971203
Honduras,14.822947,-86.589963
Croatia,45.0162341,16.5661911
Haiti,18.9007009,-72.658013
Hungary,47.1999511,19.3576285
Indonesia,-2.221738,117.423407
India,22.9250063,79.5937036
Ireland,53.180591,-8.0102368
Iran,32.5189173,54.2854514
Iraq,33.0368225,43.7569114
Iceland,65.0742763,-18.761028
Israel,31.4849177,35.0038499
Italy,42.7511827,12.1407883
Jamaica,18.1376359,-77.324254
Jordan,31.2454906,36.7794549
Japan,37.6631105,138.064961
Kazakhstan,48.1916621,67.2846087
Kenya,0.59596629,37.7915552
Kyrgyzstan,41.5068935,74.6204046
Cambodia,12.6847287,104.876085
South Korea,36.4275987,127.821317
Kosovo,42.5793648,20.8953524
Kuwait,29.3072667,47.6000986
Laos,18.4449781,103.750259
Lebanon,33.9118271,35.8709863
Liberia,6.43161994,-9.4108361
Libya,26.9974604,17.9743527
Sri Lanka,7.70053433,80.6672357
Lesotho,-29.62529,28.1701052
Lithuania,55.2843194,23.8806403
Luxembourg,49.7657053,5.96522324
Latvia,56.8071751,24.8332959
Morocco,29.8853944,-8.4204797
Moldova,47.2036764,28.4104827
Madagascar,-19.356114,46.6911708
Mexico,23.9353719,-102.57634
Macedonia,41.605929,21.6978969
Mali,17.2677722,-3.5432944
Myanmar,21.0169998,96.5058409
Montenegro,42.7890383,19.286181
Mongolia,46.8236824,102.946404
Mozambique,-17.230446,35.472617
Mauritania,20.2092672,-10.326397
Malawi,-13.172832,34.1936051
Malaysia,3.72558837,109.698148
Namibia,-22.099776,17.1561681
New Caledonia,-21.261357,165.534474
Niger,17.3455523,9.3244294
Nigeria,9.54831838,7.99512776
Nicaragua,12.8481904,-85.020318
Netherlands,52.2987002,5.51221725
Norway,69.156856,15.4681258
Nepal,28.23944,84.0131738
New Zealand,-41.662578,172.701926
Oman,20.6111743,56.0986728
Pakistan,29.97346,69.413998
Panama,8.53001928,-80.109164
Peru,-9.1915629,-74.391805
Philippines,11.7637993,122.902672
Papua New Guinea,-6.4516445,145.317574
Poland,52.1482603,19.3110143
Puerto Rico,18.2372247,-66.479222
North Korea,40.143021,127.165016
Portugal,39.6340496,-8.0557656
Paraguay,-23.248042,-58.387387
Qatar,25.321851,51.1835026
Romania,45.8571009,24.9432523
Russia,61.9808407,96.8752233
Rwanda,-2.0135155,29.9189658
Western Sahara,24.2911728,-12.137831
Saudi Arabia,24.1232897,44.5163638
Sudan,15.9905849,29.862604
South Sudan,7.29288958,30.1986174
Senegal,14.35414,-14.509802
Solomon Islands,-8.8524974,159.966615
Sierra Leone,8.53035373,-11.795257
El Salvador,13.7260916,-88.872903
Somaliland,9.75797027,46.2307478
Somalia,4.7523477,45.7267007
Serbia,44.2330371,20.8196512
Suriname,4.12000794,-55.911456
Slovakia,48.7267113,19.507657
Slovenia,46.1254221,14.9381524
Sweden,62.811485,16.5962658
Swaziland,-26.489855,31.3952558
Syria,35.012614,38.5442393
Chad,15.3288674,18.5813295
Togo,8.43954161,0.99640413
Thailand,15.0169751,101.006133
Tajikistan,38.5830813,71.0344353
Turkmenistan,39.09124,59.2754304
East Timor,-8.7677603,125.966299
Trinidad and Tobago,10.428237,-61.330366
Tunisia,34.1729392,9.53471618
Turkey,39.0683717,35.1169011
Taiwan,23.7409649,120.9748
Tanzania,-6.2577326,34.7529881
Uganda,1.29548701,32.3575482
Ukraine,48.9730178,31.369533
Uruguay,-32.780904,-56.003278
USA,45.7056295,-112.59943
Uzbekistan,41.7486026,63.2036397
Venezuela,7.16213224,-66.163827
Vietnam,16.6579377,106.28584
Vanuatu,-15.542677,167.073751
West Bank,31.9411365,35.2733196
Yemen,15.9132318,47.5350445
South Africa,-28.947033,25.0480139
Zambia,-13.395067,27.7275918
Zimbabwe,-18.906987,29.7885483
Singapore,1.552,103.885
