iso_a3,name,pop_est,gdp_md_est
AUT,Austria,8210281,329500
BEL,Belgium,10414336,389300
BGR,Bulgaria,7204687,93750
CYP,Cyprus,531640,22700
CZE,Czech Rep.,10211904,265200
DEU,Germany,82329758,2918000
DNK,Denmark,5500510,203600
ESP,Spain,40525002,1403000
EST,Estonia,1299371,27410
FIN,Finland,5250275,193500
FRA,France,64057792,2128000
GBR,United Kingdom,62262000,1977704
GRC,Greece,10737428,343000
HUN,Hungary,9905596,196600
IRL,Ireland,4203200,188400
ITA,Italy,58126212,1823000
LTU,Lithuania,3555179,63330
LUX,Luxembourg,491775,39370
LVA,Latvia,2231503,38860
MLT,Malta,405165,9962
NLD,Netherlands,16715999,672000
POL,Poland,38482919,667900
PRT,Portugal,10707924,208627
ROU,Romania,22215421,271400
SVK,Slovakia,5463046,119500
SVN,Slovenia,2005692,59340
SWE,Sweden,9059651,344300
